Freq.	V(n001)	Ix(U1:OUT)	Ix(U2:OUT)
6.81292069057961e+00	6.72564634626690e-06,-2.50611881500551e-11	5.09189777306866e-09,-1.96087547003630e-14	1.89228883622799e-10,1.20460060629309e-15
7.35642254459641e+00	6.72564634625076e-06,-2.70588113227009e-11	5.09189777305560e-09,-2.10830013886233e-14	1.89228883626402e-10,1.00831097595125e-15
7.94328234724281e+00	6.72564634623196e-06,-2.92159161651442e-11	5.09189777304061e-09,-2.26815089775912e-14	1.89228883629354e-10,8.17964201629259e-16
8.57695898590894e+00	6.72564634621003e-06,-3.15452164170207e-11	5.09189777302336e-09,-2.44136988957198e-14	1.89228883631725e-10,6.32438462816966e-16
9.26118728128793e+00	6.72564634618448e-06,-3.40604407188493e-11	5.09189777300343e-09,-2.62897804806993e-14	1.89228883633569e-10,4.50640265623841e-16
1.00000000000000e+01	6.72564634615468e-06,-3.67764135271361e-11	5.09189777298038e-09,-2.83208111522484e-14	1.89228883634932e-10,2.71497969806833e-16
1.07977516232771e+01	6.72564634611995e-06,-3.97091424880719e-11	5.09189777295362e-09,-3.05187615819638e-14	1.89228883635845e-10,9.39559889176239e-17
1.16591440117983e+01	6.72564634607945e-06,-4.28759127848856e-11	5.09189777292255e-09,-3.28965862494012e-14	1.89228883636329e-10,-8.30322801337604e-17
1.25892541179417e+01	6.72564634603224e-06,-4.62953890147882e-11	5.09189777288642e-09,-3.54682997926099e-14	1.89228883636397e-10,-2.60509967560526e-16
1.35935639087853e+01	6.72564634597720e-06,-4.99877251960685e-11	5.09189777284438e-09,-3.82490596091690e-14	1.89228883636049e-10,-4.39522989440297e-16
1.46779926762207e+01	6.72564634591302e-06,-5.39746835536893e-11	5.09189777279544e-09,-4.12552551933999e-14	1.89228883635278e-10,-6.21126654573659e-16
1.58489319246111e+01	6.72564634583821e-06,-5.82797627834108e-11	5.09189777273847e-09,-4.45046047317772e-14	1.89228883634065e-10,-8.06390952656693e-16
1.71132830416178e+01	6.72564634575097e-06,-6.29283365505931e-11	5.09189777267207e-09,-4.80162595355812e-14	1.89228883632381e-10,-9.96408218562332e-16
1.84784979742229e+01	6.72564634564926e-06,-6.79478030397294e-11	5.09189777259471e-09,-5.18109169128827e-14	1.89228883630187e-10,-1.19229815969169e-15
1.99526231496888e+01	6.72564634553069e-06,-7.33677464363834e-11	5.09189777250457e-09,-5.59109421585196e-14	1.89228883627432e-10,-1.39521532680813e-15
2.15443469003188e+01	6.72564634539243e-06,-7.92201112931305e-11	5.09189777239949e-09,-6.03405003724930e-14	1.89228883624049e-10,-1.60635584372616e-15
2.32630506715363e+01	6.72564634523124e-06,-8.55393908072257e-11	5.09189777227703e-09,-6.51256988852642e-14	1.89228883619960e-10,-1.82696402358887e-15
2.51188643150958e+01	6.72564634504331e-06,-9.23628301197345e-11	5.09189777213427e-09,-7.02947411321053e-14	1.89228883615067e-10,-2.05833993215349e-15
2.71227257933203e+01	6.72564634482419e-06,-9.97306458343356e-11	5.09189777196782e-09,-7.58780928826484e-14	1.89228883609256e-10,-2.30184765186398e-15
2.92864456462524e+01	6.72564634456873e-06,-1.07686263049512e-10	5.09189777177381e-09,-8.19086617997344e-14	1.89228883602388e-10,-2.55892217148030e-15
3.16227766016838e+01	6.72564634427087e-06,-1.16276571301362e-10	5.09189777154760e-09,-8.84219913962004e-14	1.89228883594302e-10,-2.83107883759606e-15
3.41454887383360e+01	6.72564634392360e-06,-1.25552200925324e-10	5.09189777128390e-09,-9.54564705219500e-14	1.89228883584806e-10,-3.11992134762477e-15
3.68694506451957e+01	6.72564634351871e-06,-1.35567821465876e-10	5.09189777097642e-09,-1.03053559627227e-13	1.89228883573677e-10,-3.42715256317393e-15
3.98107170553497e+01	6.72564634304664e-06,-1.46382463892725e-10	5.09189777061797e-09,-1.11258035120846e-13	1.89228883560653e-10,-3.75458262418227e-15
4.29866234708228e+01	6.72564634249625e-06,-1.58059868522966e-10	5.09189777020004e-09,-1.20118253284086e-13	1.89228883545424e-10,-4.10414212939463e-15
4.64158883361278e+01	6.72564634185455e-06,-1.70668860699364e-10	5.09189776971279e-09,-1.29686435270473e-13	1.89228883527632e-10,-4.47789094904841e-15
5.01187233627272e+01	6.72564634110637e-06,-1.84283756439418e-10	5.09189776914469e-09,-1.40018974895931e-13	1.89228883506857e-10,-4.87803203476981e-15
5.41169526546464e+01	6.72564634023406e-06,-1.98984800445720e-10	5.09189776848234e-09,-1.51176771015204e-13	1.89228883482608e-10,-5.30692345895945e-15
5.84341413373518e+01	6.72564633921703e-06,-2.14858639059422e-10	5.09189776771012e-09,-1.63225586456187e-13	1.89228883454313e-10,-5.76709352398173e-15
6.30957344480193e+01	6.72564633803125e-06,-2.31998830944105e-10	5.09189776680977e-09,-1.76236435614644e-13	1.89228883421304e-10,-6.26125411395006e-15
6.81292069057961e+01	6.72564633664874e-06,-2.50506398510232e-10	5.09189776576003e-09,-1.90286003008459e-13	1.89228883382801e-10,-6.79231791234450e-15
7.35642254459641e+01	6.72564633503684e-06,-2.70490423329971e-10	5.09189776453612e-09,-2.05457095245375e-13	1.89228883337894e-10,-7.36341470667340e-15
7.94328234724281e+01	6.72564633315751e-06,-2.92068689051887e-10	5.09189776310919e-09,-2.21839129078673e-13	1.89228883285525e-10,-7.97791087006215e-15
8.57695898590894e+01	6.72564633096638e-06,-3.15368375604569e-10	5.09189776144548e-09,-2.39528658417010e-13	1.89228883224457e-10,-8.63942825434121e-15
9.26118728128793e+01	6.72564632841170e-06,-3.40526808780871e-10	5.09189775950575e-09,-2.58629943401095e-13	1.89228883153247e-10,-9.35186506274052e-15
1.00000000000000e+02	6.72564632543317e-06,-3.67692269620783e-10	5.09189775724419e-09,-2.79255564905994e-13	1.89228883070214e-10,-1.01194206193144e-14
1.07977516232771e+02	6.72564632196045e-06,-3.97024868363133e-10	5.09189775460741e-09,-3.01527088079260e-13	1.89228882973398e-10,-1.09466197987555e-14
1.16591440117983e+02	6.72564631791156e-06,-4.28697488117000e-10	5.09189775153313e-09,-3.25575778822427e-13	1.89228882860514e-10,-1.18383360455076e-14
1.25892541179417e+02	6.72564631319090e-06,-4.62896803815353e-10	5.09189774794880e-09,-3.51543377474304e-13	1.89228882728895e-10,-1.27998265123218e-14
1.35935639087853e+02	6.72564630768701e-06,-4.99824382455441e-10	5.09189774376979e-09,-3.79582934199176e-13	1.89228882575435e-10,-1.38367581183171e-14
1.46779926762207e+02	6.72564630126995e-06,-5.39697871111378e-10	5.09189773889742e-09,-4.09859711048056e-13	1.89228882396509e-10,-1.49552414348700e-14
1.58489319246111e+02	6.72564629378821e-06,-5.82752279720762e-10	5.09189773321664e-09,-4.42552156002237e-13	1.89228882187894e-10,-1.61618698269707e-14
1.71132830416178e+02	6.72564628506514e-06,-6.29241366205336e-10	5.09189772659335e-09,-4.77852954713421e-13	1.89228881944665e-10,-1.74637540798088e-14
