Freq.	V(n001)	Ix(U1:OUT)	Ix(U2:OUT)
6.30957344480193e+04	6.71732439966275e-06,-2.31698653423907e-07	5.08557904716075e-09,-1.75946112944249e-10	1.88996831498852e-10,-6.45838194425561e-12
6.81292069057961e+04	6.71594574423246e-06,-2.50128960811552e-07	5.08453225532125e-09,-1.89941628345399e-10	1.88958388576854e-10,-6.97210884971135e-12
7.35642254459641e+04	6.71433909450400e-06,-2.70015730154756e-07	5.08331235092107e-09,-2.05043145865621e-10	1.88913588175674e-10,-7.52643318781387e-12
7.94328234724282e+04	6.71246688971515e-06,-2.91471587458003e-07	5.08189081465150e-09,-2.21336191307712e-10	1.88861382940696e-10,-8.12449415307360e-12
8.57695898590894e+04	6.71028543265494e-06,-3.14617227591738e-07	5.08023446789263e-09,-2.38912417886225e-10	1.88800554432082e-10,-8.76965531028246e-12
9.26118728128793e+04	6.70774390557011e-06,-3.39581823996516e-07	5.07830472550602e-09,-2.57869917383562e-10	1.88729685574974e-10,-9.46551838328952e-12
1.00000000000000e+05	6.70478323487517e-06,-3.66503411949249e-07	5.07605673382681e-09,-2.78313511222913e-10	1.88647129143899e-10,-1.02159306797977e-11
1.07977516232771e+05	6.70133478383401e-06,-3.95529228651130e-07	5.07343837803682e-09,-3.00355008772108e-10	1.88550971310832e-10,-1.10249949915340e-11
1.16591440117983e+05	6.69731885040207e-06,-4.26815988582650e-07	5.07038914159872e-09,-3.24113416512230e-10	1.88438989536909e-10,-1.18970811424743e-11
1.25892541179417e+05	6.69264294561478e-06,-4.60530066612945e-07	5.06683879906332e-09,-3.49715077145281e-10	1.88308604940449e-10,-1.28368245922436e-11
1.35935639087853e+05	6.68719982646972e-06,-4.96847554026259e-07	5.06270592246629e-09,-3.77293712252364e-10	1.88156827028158e-10,-1.38491348872816e-11
1.46779926762207e+05	6.68086525645520e-06,-5.35954143680545e-07	5.05789618093242e-09,-4.06990335187630e-10	1.87980191675450e-10,-1.49391859596272e-11
1.58489319246111e+05	6.67349546710585e-06,-5.78044789683447e-07	5.05230041327218e-09,-4.38952992811726e-10	1.87774689809942e-10,-1.61124139413524e-11
1.71132830416178e+05	6.66492429574299e-06,-6.23323073977919e-07	5.04579245471296e-09,-4.73336284655197e-10	1.87535688226615e-10,-1.73744912854197e-11
1.84784979742229e+05	6.65495997858477e-06,-6.72000196837118e-07	5.03822670195451e-09,-5.10300596571900e-10	1.87257839615479e-10,-1.87313054769056e-11
1.99526231496888e+05	6.64338158561883e-06,-7.24293490283110e-07	5.02943540622282e-09,-5.50010972135564e-10	1.86934983607142e-10,-2.01889123866626e-11
2.15443469003188e+05	6.62993509522060e-06,-7.80424332827607e-07	5.01922569278512e-09,-5.92635529507549e-10	1.86560036862301e-10,-2.17534828128391e-11
2.32630506715363e+05	6.61432912400039e-06,-8.40615320856291e-07	5.00737631868766e-09,-6.38343313875320e-10	1.86124874443540e-10,-2.34312192795949e-11
2.51188643150958e+05	6.59623035266212e-06,-9.05086527000150e-07	4.99363419967624e-09,-6.87301456691162e-10	1.85620201780944e-10,-2.52282559388615e-11
2.71227257933203e+05	6.57525872402169e-06,-9.74050650067326e-07	4.97771076412329e-09,-7.39671493281081e-10	1.85035421410097e-10,-2.71505181636693e-11
2.92864456462524e+05	6.55098253737499e-06,-1.04770683649716e-06	4.95927822825012e-09,-7.95604671802741e-10	1.84358495664215e-10,-2.92035544845208e-11
3.16227766016838e+05	6.52291362695394e-06,-1.12623293294022e-06	4.93796593519650e-09,-8.55236070984586e-10	1.83575812450098e-10,-3.13923188006258e-11
3.41454887383360e+05	6.49050289405747e-06,-1.20977591813450e-06	4.91335696262465e-09,-9.18677335470510e-10	1.82672059764990e-10,-3.37209085543784e-11
3.68694506451958e+05	6.45313656487169e-06,-1.29844026640383e-06	4.88498528133472e-09,-9.86007840644238e-10	1.81630124196143e-10,-3.61922242483067e-11
3.98107170553497e+05	6.41013366999500e-06,-1.39227402396786e-06	4.85233384147944e-09,-1.05726412095592e-09	1.80431016261775e-10,-3.88076054409902e-11
4.29866234708228e+05	6.36074538580828e-06,-1.49125244464299e-06	4.81483407246700e-09,-1.13242744503274e-09	1.79053856467179e-10,-4.15663509663612e-11
4.64158883361278e+05	6.30415703652402e-06,-1.59525914797781e-06	4.77186740304805e-09,-1.21140950975298e-09	1.77475927037644e-10,-4.44652133773927e-11
5.01187233627272e+05	6.23949371725150e-06,-1.70406494687383e-06	4.72276953079824e-09,-1.29403636472615e-09	1.75672832760194e-10,-4.74977903545557e-11
5.41169526546464e+05	6.16583064223134e-06,-1.81730476003390e-06	4.66683827932202e-09,-1.38003088272106e-09	1.73618787037969e-10,-5.06538924105671e-11
5.84341413373517e+05	6.08220941684386e-06,-1.93445339066924e-06	4.60334595327921e-09,-1.46899436927191e-09	1.71287064433692e-10,-5.39188704186006e-11
6.30957344480193e+05	5.98766143248561e-06,-2.05480142171547e-06	4.53155710169586e-09,-1.56038826073642e-09	1.68650657217738e-10,-5.72729290340009e-11
6.81292069057961e+05	5.88123943281589e-06,-2.17743303785610e-06	4.45075248563292e-09,-1.65351728545916e-09	1.65683151418114e-10,-6.06905224835229e-11
7.35642254459641e+05	5.76205793278918e-06,-2.30120819831205e-06	4.36025976763735e-09,-1.74751592838563e-09	1.62359855711744e-10,-6.41398509303337e-11
7.94328234724281e+05	5.62934252485175e-06,-2.42475217788538e-06	4.25949094905937e-09,-1.84134049032339e-09	1.58659177644749e-10,-6.75825658451296e-11
8.57695898590894e+05	5.48248713617455e-06,-2.54645595018041e-06	4.14798584443485e-09,-1.93376937957167e-09	1.54564216094513e-10,-7.09737909265952e-11
9.26118728128793e+05	5.32111700904350e-06,-2.66449104729103e-06	4.02545990138550e-09,-2.02341439526846e-09	1.50064525653521e-10,-7.42625175880588e-11
1.00000000000000e+06	5.14515364184959e-06,-2.77684220950009e-06	3.89185350909463e-09,-2.10874551858662e-09	1.45157913174689e-10,-7.73925463363585e-11
